emails,rating,height,bmi,yrs_education,age,days_active
21,0.0268153,67.5,20.82963,18,1,108
57,-0.4025236,65.5,23.75969,12.5,2,108
37,0.70335,61,21.72669,12.5,2,72
35,1.049806,65.5,30.31409,12,1,64
32,-0.5166466,61,25.50524,16,3,91
23,-0.3365656,65.5,20.48249,18,3,75
4,-1.043772,65.5,27.03689,18,3,108
5,-0.4828796,69.5,31.29134,15,3,65
32,-0.2100853,63.5,27.02337,16,2,108
23,-0.0902162,63.5,20.0496,15,2,48
27,0.1597338,67.5,25.45844,15,1,108
5,-0.3433352,67.5,23.9155,18,3,72
41,1.313955,67.5,20.82963,12.5,1,16
9,0.1835565,67.5,20.82963,18,1,108
10,-0.6919497,63.5,21.79304,17,2,52
7,-0.2941602,67.5,20.82963,12.5,3,108
34,0.1357995,61,31.17307,12.5,3,104
3,-0.4289983,65.5,25.39829,12.5,2,86
33,-0.2851388,61,21.72669,12.5,3,51
38,0.6214628,63.5,20.0496,18,2,24
36,-0.194169,63.5,21.79304,12.5,1,55
16,-0.8098563,67.5,22.37256,16,3,88
40,-0.1116539,61,19.83741,16,2,42
5,0.5431361,67.5,22.37256,16,1,108
55,0.3220446,65.5,22.12109,17,1,107
21,-0.442454,67.5,20.82963,12.5,3,43
3,-0.0308765,65.5,20.48249,16,3,108
27,0.7002446,65.5,18.84389,16,1,108
62,1.120268,65.5,20.48249,18,2,108
11,0.3926203,65.5,22.12109,18,3,108
14,0.0603519,61,21.72669,18,3,75
29,-0.2547686,67.5,23.9155,12.5,1,75
16,0.0685623,61,19.83741,16,1,40
97,1.145883,61,21.72669,12.5,1,37
10,0.4633706,69.5,24.01428,18,1,108
44,0.1371861,63.5,21.79304,16,3,52
0,0.590884,65.5,18.84389,16,1,63
33,0.3483733,63.5,20.0496,18,3,108
83,0.3411589,61,27.39452,17.5,2,108
4,0.8993289,61,19.83741,8,1,66
16,-1.023024,63.5,21.79304,21,2,63
0,0.3317436,65.5,22.12109,18,3,7
39,-0.0170859,65.5,22.12109,16,3,63
5,-0.5890506,63.5,28.76682,12.5,2,108
21,-0.5259873,67.5,22.37256,18,1,103
33,-0.2840194,67.5,22.37256,18,2,108
18,-0.7468976,67.5,23.9155,12.5,3,108
8,-0.5803831,65.5,20.48249,16,1,108
31,0.993573,63.5,25.27993,8,2,77
31,0.326147,65.5,20.48249,16,3,108
12,-0.1296977,65.5,22.12109,17.5,3,108
14,-0.4806876,65.5,22.12109,14,3,73
41,0.2717932,63.5,21.79304,16,1,92
7,-0.4375372,65.5,23.75969,18,1,108
81,-0.0754284,65.5,20.48249,16,2,91
8,-0.0249709,63.5,23.53649,18,3,71
102,-0.073218,67.5,20.82963,12.5,1,10
11,-0.0917263,67.5,20.82963,16,3,77
13,0.0292641,67.5,22.37256,15,2,86
19,-0.5995906,61,23.61596,16,1,43
63,0.5620344,63.5,20.0496,18,1,63
15,0.911437,61,19.83741,18,1,9
30,0.5978402,63.5,23.53649,12.5,2,108
37,-0.0795034,61,25.50524,12.5,2,108
2,1.320203,61,23.61596,12,3,74
3,-0.3158886,65.5,25.39829,18,3,32
8,-0.171653,65.5,22.12109,17,3,20
2,-0.532206,63.5,25.27993,18,3,108
70,-0.3017119,65.5,20.48249,12.5,2,42
27,0.232274,61,23.61596,14,1,84
20,0.3105117,63.5,23.53649,21,1,16
22,1.002385,65.5,20.48249,16,1,58
45,0.8657114,63.5,21.79304,16,1,16
3,-0.6982867,65.5,17.20529,8,3,84
27,0.1327787,65.5,22.12109,16,2,108
113,3.142593,63.5,20.0496,16,1,60
10,-0.2399264,67.5,30.08724,16,1,88
29,-0.305925,65.5,20.48249,16,2,108
12,-0.2848596,67.5,19.28669,18,2,108
36,0.0113762,63.5,20.0496,12,1,49
7,-0.0625663,65.5,25.39829,21,3,108
1,-0.4971493,67.5,25.45844,16,2,21
7,-0.0413505,63.5,20.0496,18,1,72
7,-0.4497113,67.5,30.08724,17.5,2,78
8,-0.4774177,65.5,22.12109,16,3,85
23,0.4162086,65.5,22.12109,8,2,23
20,-0.0277842,61,19.83741,16,3,86
103,0.8963528,65.5,18.84389,18,1,26
29,0.1194928,67.5,22.37256,12.5,3,108
5,-0.6250602,67.5,19.28669,16,2,108
21,0.9716702,63.5,28.76682,16,1,64
24,0.2424462,65.5,25.39829,18,2,61
56,0.896712,69.5,19.64805,16,3,67
25,0.4067507,63.5,25.27993,18,1,108
44,1.328019,63.5,20.0496,16,1,9
60,0.6246974,61,21.72669,18,2,80
43,0.4463177,63.5,23.53649,17.5,2,108
43,-0.0458897,65.5,22.12109,12,2,93
2,-0.6055261,67.5,27.00137,12.5,2,18
17,0.5476447,65.5,20.48249,16,1,72
98,0.0673883,67.5,17.74376,18,3,81
20,0.5087674,67.5,19.28669,16,2,108
21,-0.2570891,61,23.61596,16,2,76
