emails,rating,height,bmi,yrs_education,age,days_active
3,-0.5250665,71.5,33.69064,16,2,19
7,-0.4922359,69.5,24.01428,21,1,108
2,-1.165594,67.5,22.37256,21,1,108
7,-0.2716222,71.5,24.06475,13,2,108
0,0.0629574,75.5,26.5155,16,1,77
2,0.2019963,67.5,23.9155,17.5,1,108
26,0.2283209,69.5,25.4697,17.5,1,108
0,-0.7367775,65.5,27.03689,16,1,84
9,-0.4683285,65.5,27.03689,17.5,3,108
37,-0.1161402,71.5,25.43987,18,2,108
16,-0.2843094,75.5,24.04894,17.5,3,49
0,0.3253928,71.5,22.68962,12,3,60
6,-0.1401857,71.5,24.06475,16,2,88
1,0.0678193,67.5,23.9155,18,1,108
25,0.2227816,69.5,26.92511,17,1,108
4,-0.3315816,69.5,26.92511,16,3,93
10,-0.4948564,73.5,26.67685,12.5,3,42
3,-0.2747564,67.5,30.08724,21,3,108
1,-0.3836356,61,29.28379,12.5,3,108
21,0.2114873,71.5,29.56526,16,2,108
14,0.1170091,69.5,25.4697,16,2,108
5,-1.278201,73.5,27.97816,16,2,108
1,-0.2616085,75.5,24.04894,16,1,74
4,-0.6751804,73.5,25.37554,18,2,108
24,-0.2013379,71.5,26.815,16,2,108
4,-0.6352574,71.5,30.94039,17.5,1,57
23,-0.0526182,71.5,26.815,18,3,69
1,-0.2646811,67.5,25.45844,16,3,108
4,-0.7149112,69.5,25.4697,18,2,14
0,-0.6545663,69.5,21.10346,12.5,2,108
1,-0.0199818,63.5,25.27993,13,1,13
7,0.1058824,67.5,28.54431,12.5,1,108
6,0.6526182,67.5,25.45844,18,2,108
0,-0.6027257,69.5,24.01428,18,3,108
6,-0.0621335,77.5,28.67596,18,1,36
12,-0.2642178,67.5,25.45844,21,2,108
37,0.3153355,71.5,25.43987,16,3,108
6,-0.235537,71.5,25.43987,16,3,108
8,0.2142706,65.5,30.31409,16,2,108
16,-0.3280983,73.5,24.07423,16,2,108
22,-0.7176196,69.5,22.55887,18,2,73
12,-0.6113299,73.5,27.97816,14,1,108
14,-0.7929344,71.5,26.815,16,1,57
